IN_X,IN_Y,ID,NAME
0,0,1647773814,KB국민은행 강남중앙지점
0,1,18631177,에블린 강남점
0,2,26370019,SC제일은행 강남역지점
0,3,12643604,LG전자서비스센터 강남역휴대폰서비스센터
0,4,26980975,영풍문고 강남역점
0,5,21360034,스시오 강남점
0,6,18098052,신소애성형외과
0,7,22052237,제아치과의원
0,8,14603333,연세코앤이비인후과
0,9,10791909,강남조앤조내과소아과의원
0,10,8508600,유니클로 강남점
0,11,1027268169,스시메이진 강남점
0,12,19143431,바비의원
0,13,8105265,커피빈 강남대로센터점
0,14,860057640,스폰티니피자 강남점
0,15,27175976,뮤즈클리닉 강남점
0,16,20494135,스타벅스 강남대로점
0,17,18946482,준오헤어 신논현역점
0,18,17695255,신한은행 논현동지점
0,19,1538525173,쁨클리닉 신논현점 
1,0,14970034,이즈타워약국
1,1,27269579,동경야시장 강남점
1,2,95713992,장인닭갈비 강남점
1,3,27556484,미니스톱 강남센터점
1,4,1505196308,롤링파스타 강남역시티점
1,5,17101526,커피빈 강남역먹자골목점
1,6,1211880302,오렌즈 강남시티점
1,7,643864351,파리바게뜨 강남역점
1,8,25986196,강남더밝은안과의원
1,9,372283447,바이트
1,10,7906948,봉추찜닭 강남주공공이점
1,11,935626869,취하당
1,12,1831667147,플라워카페로랑 강남점
1,13,1179051209,고요남 강남역점
1,14,21358183,클로리스 신논현점
1,15,21332166,원조원주추어탕 강남본점
1,16,18507386,스매싱볼 강남점
1,17,1532113884,강남크로스핏
1,18,8657508,교보통갈비
1,19,27510749,누들킹 신논현역점
2,0,14821064,키키당구클럽
2,1,22017700,미니스톱 강남시티3점
2,2,806077717,샤인빔 강남점
2,3,26926898,펠리스 스페인어학원 강남캠퍼스
2,4,1506049307,투썸플레이스 강남역중앙점
2,5,20194585,죠스떡볶이 강남중앙점
2,6,26794218,배스킨라빈스 강남중앙점
2,7,105571085,고메스시
2,8,901401010,ABC마트 ST강남점
2,9,17137481,올리브영 강남시티점
2,10,20180239,마루가메제면 강남점
2,11,11834565,이철헤어커커 강남점
2,12,19197483,놀부부대찌개 강남씨티점
2,13,17706289,YBM커리어캠퍼스 강남
2,14,7949987,세븐일레븐 역삼8호점
2,15,113668696,스타벅스 강남오거리점
2,16,528537292,훠궈나라 강남점
2,17,10496044,원데이치과 제1관
2,18,1499828348,스시화
2,19,16932811,CU 역삼본점
3,0,1131682358,에이탑성형외과의원
3,1,25665660,제리스플래닛호텔
3,2,26330643,마녀주방 강남점
3,3,19157089,써브웨이 강남역점
3,4,14080077,주카컴퍼니
3,5,13573220,떡도리탕 강남본점
3,6,1281037544,홍대마늘떡볶이 강남점
3,7,658286872,강남돼지상회
3,8,8592698,코코이찌방야 강남점
3,9,1429324904,퍼즐팩토리 강남점
3,10,1476103706,피코이
3,11,14095777,화기애애 강남점
3,12,27348627,브라더후드키친
3,13,926603562,호랑이식당 강남본점
3,14,1326173746,미분당
3,15,18380092,본도시락 신논현역점
3,16,23734489,인기명 역삼본점
3,17,467063687,도도하우스
3,18,463238319,스테이요키
3,19,994605053,엘스타의원
4,0,1784923037,프리미어성형외과의원
4,1,985760673,코코넛치과
4,2,1673278191,빈브라더스 강남점
4,3,12618214,오븐에빠진닭 강남2호점
4,4,27528030,오봉참치
4,5,1252195323,창화루 강남역점
4,6,26455759,마초쉐프 강남역점
4,7,798713718,놀숲 강남역점
4,8,18059869,엘이디전광판
4,9,2092687113,하이렌터카 강남지점
4,10,1280943425,삼미식당 강남본점
4,11,1390599294,다이스타운
4,12,1738439167,낙원타코 강남CGV점
4,13,17341913,우리집만두 강남점
4,14,17672210,하이피스원룸
4,15,26575569,무월
4,16,1157456408,씨블루
4,17,1216369911,코미디헤이븐
4,18,1939290114,도호
4,19,23900960,보브빌딩
5,0,13575898,갓덴스시 강남점
5,1,12638299,다이소 강남역2호점
5,2,2007263691,트레바리 강남아지트
5,3,18574075,이지스터디 강남점
5,4,13105578,프린서플어학원
5,5,286627146,하남돼지집 강남역CGV점
5,6,760451576,노블스터디카페 강남점
5,7,27024976,세정아트빌
5,8,26934581,씨맥스
5,9,25891059,어글리스토브 강남역점
5,10,23898690,스프링힐 빌딩
5,11,257207231,전통주갤러리 강남점
5,12,11594502,훌리오 강남점
5,13,1723198768,어반레빗
5,14,26644495,사주지니
5,15,23901740,정진빌딩
5,16,16377585,퐁트마리
5,17,746428895,피씨주택
5,18,27550461,카페무라노
5,19,10608242,신일빌딩
6,0,1862219579,커피빈 강남역12번출구점
6,1,8788521,건설기술교육원 강남분원
6,2,26847503,알파벳스터디룸
6,3,27419708,일미리금계찜닭 강남1호점
6,4,1095827641,루이팡 강남역점
6,5,836735036,바류식당 강남역점
6,6,1587423793,찹헤어 강남테라스점
6,7,27559313,카르마연애아카데미
6,8,1193352009,굿모닝유학
6,9,1148085200,SG연기아카데미
6,10,250151894,은탑센추렐빌
6,11,13139103,아비꼬 강남역점
6,12,1077737958,102J
6,13,26497176,토끼정 강남점
6,14,1868219501,겟썸커피
6,15,1132193690,리우빌딩
6,16,1367196580,천진영감
6,17,850873071,정돈
6,18,23901878,대동빌딩
6,19,13928015,알케미아
7,0,26965839,샤브쌈주머니 서울강남점
7,1,17050663,CU 역삼강남점
7,2,1126071113,육장현
7,3,10732761,장연빌딩
7,4,26431943,백억하누 강남본점
7,5,8207148,금성빌딩
7,6,8386812,사이드웨이
7,7,14666479,브라운홀릭
7,8,27220285,클린하우스
7,9,815761839,하품하우스
7,10,1018934532,집닥
7,11,672086398,카페프레도
7,12,16085051,CU 역삼태양점
7,13,1781227506,고베규카츠 서울강남점
7,14,1399255341,폴인팬케이크 강남점
7,15,26887324,블랙스테이크 강남점
7,16,27355852,타이키친
7,17,1946337561,주택
7,18,1712630388,르메르디앙서울
7,19,680638217,허우
8,0,12296281,GS25 강남타운점
8,1,24060802,지원빌딩
8,2,8733102,강남학사
8,3,699831099,하늬돈까스 강남역본점
8,4,17004176,제일카피
8,5,14585892,도치피자 강남점
8,6,19155748,드림학사
8,7,1455540961,까사벨라
8,8,13076284,아이민스튜디오 역삼점
8,9,2025926964,나우버스킹
8,10,502295844,애니벅스 강남센터
8,11,260283466,구구당
8,12,27585972,가비터
8,13,491603701,3MK 강남본점
8,14,26602052,유나이티드아트홀
8,15,582588456,티오피리얼티
8,16,2044341971,브라보치킨피자 역삼점
8,17,17199176,전원산업
8,18,1663110820,르 메르디앙 서울호텔 웨딩
8,19,27344922,골핏아카데미
9,0,1261536503,KB국민은행 강남대기업금융센터
9,1,15375022,KB손해보험 본사
9,2,18602856,강남하이퍼학원 본원
9,3,26607973,하루
9,4,14789893,강남청솔학원
9,5,1922594727,강남꿈틀스터디룸
9,6,11474601,국립어린이청소년도서관
9,7,13594240,제일테크
9,8,8703565,글로빌
9,9,598145692,하품하우스 강남2호점
9,10,9166220,서울중앙교회
9,11,23254386,더달달
9,12,23278692,강림빌딩
9,13,1284614872,GS25 강남아트점
9,14,534934463,메이쥬스튜디오
9,15,9699055,까치&까치
9,16,27398902,어헤즈맨
9,17,13723838,힐리빙텔 강남역점
9,18,15225490,킹콩인러브
9,19,221055686,지에스씨인터내셔날 서울강남커피스위트
